date,golongan,target_vaksinasi,vaksinasi_1,vaksinasi_2,persentase_v1,persentase_v2,harian_vaksinasi_1,harian_vaksinasi_2
8 September 2021,Pelayan Publik,1976757,9020873,5641998,456.30%,285.40%,35912,122051
9 September 2021,Pelayan Publik,1976757,9051469,5753145,457.90%,291.00%,30596,111147
10 September 2021,Pelayan Publik,1976757,9078159,5874144,459.20%,297.20%,26690,120999
11 September 2021,Pelayan Publik,1976757,9090235,5999406,459.90%,303.50%,12076,125262
12 September 2021,Pelayan Publik,1976757,9095189,6018966,460.10%,304.50%,4954,19560
13 September 2021,Pelayan Publik,1976757,9101972,6038253,460.40%,305.50%,6783,19287
14 September 2021,Pelayan Publik,1976757,9129541,6148243,461.80%,311.00%,27569,109990
15 September 2021,Pelayan Publik,1976757,9147818,6238476,462.80%,315.60%,18277,90233
16 September 2021,Pelayan Publik,1976757,9172506,6340473,464.00%,320.80%,24688,101997
17 September 2021,Pelayan Publik,1976757,9189604,6374609,464.90%,322.50%,17098,34136
18 September 2021,Pelayan Publik,1976757,9221314,6475650,466.50%,327.60%,31710,101041
19 September 2021,Pelayan Publik,1976757,9231868,6524554,467.00%,330.10%,10554,48904
20 September 2021,Pelayan Publik,1976757,9241610,6539356,467.50%,330.80%,9742,14802
21 September 2021,Pelayan Publik,1976757,9252479,6542371,468.10%,331.00%,10869,3015
22 September 2021,Pelayan Publik,1976757,9285797,6608231,469.70%,334.30%,33318,65860
23 September 2021,Pelayan Publik,1976757,9303235,6629697,470.60%,335.40%,17438,21466
24 September 2021,Pelayan Publik,1976757,9329826,6689925,472.00%,338.40%,26591,60228
25 September 2021,Pelayan Publik,1976757,9347823,6727631,472.90%,340.30%,17997,37706
26 September 2021,Pelayan Publik,1976757,9363307,6749092,473.70%,341.40%,15484,21461
27 September 2021,Pelayan Publik,1976757,9376836,6764513,474.40%,342.20%,13529,15421
28 September 2021,Pelayan Publik,1976757,9539129,6915632,482.60%,349.80%,162293,151119
29 September 2021,Pelayan Publik,1976757,9560284,6946137,483.60%,351.40%,21155,30505
30 September 2021,Pelayan Publik,1976757,9579783,6969568,484.60%,352.60%,19499,23431
1 October 2021,Pelayan Publik,1976757,9597472,6993519,485.50%,353.80%,17689,23951
2 October 2021,Pelayan Publik,1976757,9616306,7017921,486.50%,355.00%,18834,24402
3 October 2021,Pelayan Publik,1976757,9624944,7025165,486.90%,355.40%,8638,7244
4 October 2021,Pelayan Publik,1976757,9629182,7029379,487.10%,355.60%,4238,4214
5 October 2021,Pelayan Publik,1976757,9649141,7052282,488.10%,356.80%,19959,22903
6 October 2021,Pelayan Publik,1976757,9666136,7068991,489.00%,357.60%,16995,16709
7 October 2021,Pelayan Publik,1976757,9685163,7094318,490.00%,358.90%,19027,25327
8 October 2021,Pelayan Publik,1976757,9709538,7113723,491.20%,359.90%,24375,19405
5 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
6 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
7 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
8 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
9 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
10 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
11 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
12 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
13 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
14 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
15 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
16 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
17 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
18 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
19 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
20 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
21 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
22 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
23 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
24 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
25 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
26 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
27 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
28 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
29 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
30 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
31 March 2021,12 - 17 Tahun,0,0,0,0,0,0,0
1 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
2 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
3 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
4 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
5 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
6 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
7 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
8 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
9 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
10 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
11 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
12 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
13 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
14 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
15 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
16 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
17 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
18 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
19 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
20 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
21 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
22 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
23 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
24 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
25 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
26 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
27 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
28 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
29 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
30 April 2021,12 - 17 Tahun,0,0,0,0,0,0,0
1 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
2 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
3 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
4 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
5 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
6 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
7 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
8 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
9 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
10 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
11 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
12 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
13 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
14 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
15 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
16 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
17 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
18 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
19 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
20 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
21 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
22 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
23 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
24 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
25 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
26 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
27 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
28 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
29 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
30 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
31 May 2021,12 - 17 Tahun,0,0,0,0,0,0,0
1 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
2 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
3 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
4 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
5 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
6 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
7 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
8 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
9 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
10 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
11 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
12 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
13 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
14 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
15 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
16 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
17 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
18 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
19 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
20 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
21 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
22 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
23 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
24 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
25 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
26 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
27 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
28 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
29 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
30 June 2021,12 - 17 Tahun,0,0,0,0,0,0,0
1 July 2021,12 - 17 Tahun,984719,682,0,0.10%,0.00%,682,0
2 July 2021,12 - 17 Tahun,984719,1293,0,0.10%,0.00%,611,0
3 July 2021,12 - 17 Tahun,984719,1293,0,0.10%,0.00%,0,0
4 July 2021,12 - 17 Tahun,984719,1293,0,0.10%,0.00%,0,0
5 July 2021,12 - 17 Tahun,984719,12962,0,1.30%,0.00%,11669,0
6 July 2021,12 - 17 Tahun,984719,19685,0,2.00%,0.00%,6723,0
7 July 2021,12 - 17 Tahun,984719,36724,0,3.70%,0.00%,17039,0
8 July 2021,12 - 17 Tahun,984719,45406,0,4.60%,0.00%,8682,0
9 July 2021,12 - 17 Tahun,984719,82784,0,8.40%,0.00%,37378,0
10 July 2021,12 - 17 Tahun,984719,88505,0,9.00%,0.00%,5721,0
11 July 2021,12 - 17 Tahun,984719,91803,0,9.30%,0.00%,3298,0
12 July 2021,12 - 17 Tahun,984719,92161,0,9.40%,0.00%,358,0
13 July 2021,12 - 17 Tahun,984719,105317,0,10.70%,0.00%,13156,0
14 July 2021,12 - 17 Tahun,984719,178286,0,18.10%,0.00%,72969,0
15 July 2021,12 - 17 Tahun,984719,207980,0,21.10%,0.00%,29694,0
16 July 2021,12 - 17 Tahun,984719,246893,5,25.10%,0.00%,38913,5
17 July 2021,12 - 17 Tahun,984719,281431,6,28.60%,0.00%,34538,1
18 July 2021,12 - 17 Tahun,984719,294957,6,30.00%,0.00%,13526,0
19 July 2021,12 - 17 Tahun,984719,303459,6,30.80%,0.00%,8502,0
20 July 2021,12 - 17 Tahun,984719,329679,8,33.50%,0.00%,26220,2
21 July 2021,12 - 17 Tahun,984719,330150,8,33.50%,0.00%,471,0
22 July 2021,12 - 17 Tahun,984719,357132,11,36.30%,0.00%,26982,3
23 July 2021,12 - 17 Tahun,984719,390876,14,39.70%,0.00%,33744,3
24 July 2021,12 - 17 Tahun,984719,421612,18,42.80%,0.00%,30736,4
25 July 2021,12 - 17 Tahun,984719,435641,18,44.20%,0.00%,14029,0
26 July 2021,12 - 17 Tahun,984719,445706,22,45.30%,0.00%,10065,4
27 July 2021,12 - 17 Tahun,984719,477769,26,48.50%,0.00%,32063,4
28 July 2021,12 - 17 Tahun,984719,508387,96,51.60%,0.00%,30618,70
29 July 2021,12 - 17 Tahun,984719,533989,194,54.20%,0.00%,25602,98
30 July 2021,12 - 17 Tahun,984719,558190,1112,56.70%,0.10%,24201,918
31 July 2021,12 - 17 Tahun,984719,577768,4343,58.70%,0.40%,19578,3231
1 August 2021,12 - 17 Tahun,984719,588810,7104,59.80%,0.70%,11042,2761
2 August 2021,12 - 17 Tahun,984719,594392,8536,60.40%,0.90%,5582,1432
3 August 2021,12 - 17 Tahun,984719,614881,16997,62.40%,1.70%,20489,8461
4 August 2021,12 - 17 Tahun,984719,633600,28027,64.30%,2.80%,18719,11030
5 August 2021,12 - 17 Tahun,984719,752299,52891,76.40%,5.40%,118699,24864
6 August 2021,12 - 17 Tahun,984719,757059,57087,76.90%,5.80%,4760,4196
7 August 2021,12 - 17 Tahun,984719,765403,70787,77.70%,7.20%,8344,13700
8 August 2021,12 - 17 Tahun,984719,765403,70787,77.70%,7.20%,0,0
9 August 2021,12 - 17 Tahun,984719,765403,70787,77.70%,7.20%,0,0
10 August 2021,12 - 17 Tahun,984719,725422,106412,73.70%,10.80%,0,35625
11 August 2021,12 - 17 Tahun,984719,732354,131156,74.40%,13.30%,6932,24744
12 August 2021,12 - 17 Tahun,984719,734790,136143,74.60%,13.80%,2436,4987
13 August 2021,12 - 17 Tahun,984719,742027,177991,75.40%,18.10%,7237,41848
14 August 2021,12 - 17 Tahun,984719,748955,218708,76.10%,22.20%,6928,40717
15 August 2021,12 - 17 Tahun,984719,751000,234156,76.30%,23.80%,2045,15448
16 August 2021,12 - 17 Tahun,984719,752541,244213,76.40%,24.80%,1541,10057
17 August 2021,12 - 17 Tahun,984719,756504,273103,76.80%,27.70%,3963,28890
18 August 2021,12 - 17 Tahun,984719,757387,275918,76.90%,28.00%,883,2815
19 August 2021,12 - 17 Tahun,984719,761958,301245,77.40%,30.60%,4571,25327
20 August 2021,12 - 17 Tahun,984719,765903,330973,77.80%,33.60%,3945,29728
21 August 2021,12 - 17 Tahun,984719,768352,351843,78.00%,35.70%,2449,20870
22 August 2021,12 - 17 Tahun,984719,771149,370984,78.30%,37.70%,2797,19141
23 August 2021,12 - 17 Tahun,984719,772052,379228,78.40%,38.50%,903,8244
24 August 2021,12 - 17 Tahun,984719,775292,404818,78.70%,41.10%,3240,25590
25 August 2021,12 - 17 Tahun,984719,778684,437322,79.10%,44.40%,3392,32504
26 August 2021,12 - 17 Tahun,984719,781906,461034,79.40%,46.80%,3222,23712
27 August 2021,12 - 17 Tahun,984719,789341,487583,80.20%,49.50%,7435,26549
28 August 2021,12 - 17 Tahun,984719,795882,521016,80.80%,52.90%,6541,33433
29 August 2021,12 - 17 Tahun,984719,796366,522838,80.90%,53.10%,484,1822
30 August 2021,12 - 17 Tahun,984719,796414,522883,80.90%,53.10%,48,45
31 August 2021,12 - 17 Tahun,984719,801262,551409,81.40%,56.00%,4848,28526
1 September 2021,12 - 17 Tahun,984719,804832,571924,81.70%,58.10%,3570,20515
2 September 2021,12 - 17 Tahun,984719,808064,587883,82.10%,59.70%,3232,15959
3 September 2021,12 - 17 Tahun,984719,811771,602021,82.40%,61.10%,3707,14138
4 September 2021,12 - 17 Tahun,984719,815154,611140,82.80%,62.10%,3383,9119
5 September 2021,12 - 17 Tahun,984719,816620,613954,82.90%,62.30%,1466,2814
6 September 2021,12 - 17 Tahun,984719,817278,615620,83.00%,62.50%,658,1666
7 September 2021,12 - 17 Tahun,984719,820123,623655,83.30%,63.30%,2845,8035
8 September 2021,12 - 17 Tahun,984719,823181,632366,83.60%,64.20%,3058,8711
9 September 2021,12 - 17 Tahun,984719,825469,638063,83.80%,64.80%,2288,5697
10 September 2021,12 - 17 Tahun,984719,840097,650667,85.30%,66.10%,14628,12604
11 September 2021,12 - 17 Tahun,984719,842790,658763,85.60%,66.90%,2693,8096
12 September 2021,12 - 17 Tahun,984719,842995,659983,85.60%,67.00%,205,1220
13 September 2021,12 - 17 Tahun,984719,843255,661120,85.60%,67.10%,260,1137
14 September 2021,12 - 17 Tahun,984719,844664,666422,85.80%,67.70%,1409,5302
15 September 2021,12 - 17 Tahun,984719,845896,669225,85.90%,68.00%,1232,2803
16 September 2021,12 - 17 Tahun,984719,846707,674290,86.00%,68.50%,811,5065
17 September 2021,12 - 17 Tahun,984719,847980,675640,86.10%,68.60%,1273,1350
18 September 2021,12 - 17 Tahun,984719,850446,680134,86.40%,69.10%,2466,4494
19 September 2021,12 - 17 Tahun,984719,850780,684296,86.40%,69.50%,334,4162
20 September 2021,12 - 17 Tahun,984719,851437,685277,86.50%,69.60%,657,981
21 September 2021,12 - 17 Tahun,984719,852367,685425,86.60%,69.60%,930,148
22 September 2021,12 - 17 Tahun,984719,853858,689423,86.70%,70.00%,1491,3998
23 September 2021,12 - 17 Tahun,984719,854774,690122,86.80%,70.10%,916,699
24 September 2021,12 - 17 Tahun,984719,856235,695694,87.00%,70.60%,1461,5572
25 September 2021,12 - 17 Tahun,984719,857047,699006,87.00%,71.00%,812,3312
26 September 2021,12 - 17 Tahun,984719,857584,701071,87.10%,71.20%,537,2065
27 September 2021,12 - 17 Tahun,984719,858832,702537,87.20%,71.30%,1248,1466
28 September 2021,12 - 17 Tahun,1000121,860373,705949,86.00%,70.60%,1541,3412
29 September 2021,12 - 17 Tahun,1000121,861953,709772,86.20%,71.00%,1580,3823
30 September 2021,12 - 17 Tahun,1000121,863287,712648,86.30%,71.30%,1334,2876
1 October 2021,12 - 17 Tahun,1000121,864702,715514,86.50%,71.50%,1415,2866
2 October 2021,12 - 17 Tahun,1000121,866409,718182,86.60%,71.80%,1707,2668
3 October 2021,12 - 17 Tahun,1000121,867075,718986,86.70%,71.90%,666,804
4 October 2021,12 - 17 Tahun,1000121,867457,719475,86.70%,71.90%,382,489
5 October 2021,12 - 17 Tahun,1000121,869231,721961,86.90%,72.20%,1774,2486
6 October 2021,12 - 17 Tahun,1000121,870705,723595,87.10%,72.40%,1474,1634
7 October 2021,12 - 17 Tahun,1000121,872377,726243,87.20%,72.60%,1672,2648
8 October 2021,12 - 17 Tahun,1000121,874139,727953,87.40%,72.80%,1762,1710
